#         t          x          y          z         vx         vy         vz
      0.000    -98.560   -119.990   -127.760    -28.430    173.920     93.230
      0.050    -99.891   -111.189   -122.984    -24.814    178.133     97.816
      0.100   -101.031   -102.175   -117.971    -20.765    182.432    102.690
      0.150   -101.955    -92.944   -112.707    -16.219    186.802    107.877
      0.200   -102.638    -83.493   -107.175    -11.098    191.219    113.406
      0.250   -103.048    -73.822   -101.357     -5.307    195.647    119.304
      0.300   -103.149    -63.930    -95.235      1.262    200.036    125.599
      0.350   -102.899    -53.821    -88.787      8.739    204.309    132.315
      0.400   -102.249    -43.504    -81.992     17.275    208.358    139.465
      0.450   -101.141    -32.994    -74.829     27.042    212.032    147.047
      0.500    -99.509    -22.316    -67.278     38.227    215.115    155.032
      0.550    -97.278    -11.505    -59.318     51.022    217.314    163.339
      0.600    -94.363     -0.616    -50.939     65.596    218.236    171.816
      0.650    -90.672     10.274    -42.139     82.037    217.378    180.199
      0.700    -86.114     21.062    -32.932    100.276    214.145    188.082
      0.750    -80.608     31.614    -23.357    119.973    207.922    194.896
      0.800    -74.098     41.767    -13.486    140.410    198.228    199.954
      0.850    -66.576     51.347     -3.423    160.486    184.939    202.581
      0.900    -58.092     60.183      6.689    178.865    168.497    201.906
      0.950    -48.763     68.144     16.695    194.291    149.971    198.314
      1.000    -38.753     75.159     26.460    206.115    130.610    192.287
      1.050    -28.243     81.213     35.880    214.277    111.559    184.523
      1.100    -17.407     86.343     44.887    219.161     93.633    175.739
      1.150     -6.394     90.615     53.443    221.361     77.276    166.532
      1.200      4.677     94.114     61.540    221.497     62.644    157.327
      1.250     15.718     96.922     69.183    220.116     49.704    148.393
      1.300     26.662     99.123     76.390    217.657     38.329    139.881
      1.350     37.465    100.790     83.183    214.455     28.349    131.860
      1.400     48.095    101.988     89.589    210.760     19.590    124.351
      1.450     58.533    102.775     95.631    206.749     11.889    117.346
      1.500     68.765    103.200    101.335    202.553      5.099    110.820
      1.550     78.786    103.305    106.724    198.262     -0.907    104.740
      1.600     88.591    103.126    111.819    193.940     -6.238     99.071
      1.650     98.180    102.696    116.641    189.631    -10.985     93.780
